Class,Axioms,Coverage
file:/C:/ccviews/forget/experiment/experiment6/neutron-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/optogalvanic-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/substance-related-to-pesticide,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/photoacoustic-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/henipavirus,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/rotational-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/primary-intraosseous-squamous-cell-carcinoma,2,0.0135
file:/C:/ccviews/forget/experiment/experiment6/vascular-endothelial-growth-factors,1,0.0068
http://www.w3.org/2002/07/owl#Thing,148,1.0000
file:/C:/ccviews/forget/experiment/experiment6/terms-related-to-wave-and-vibration,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/scanning-tunnelling-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/bioimpedance-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/mephentermine,10,0.0676
file:/C:/ccviews/forget/experiment/experiment6/e2f5-protein-human,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/spectrum,2,0.0135
file:/C:/ccviews/forget/experiment/experiment6/UMLS_Concept,2,0.0135
file:/C:/ccviews/forget/experiment/experiment6/4-hydroxymephentermine,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/paramyxoviridae,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/respirovirus,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/group-selection,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/surface-plasmon-resonance-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/chemotactic-process,2,0.0135
file:/C:/ccviews/forget/experiment/experiment6/scattering-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/odontogenic-neoplasm,2,0.0135
file:/C:/ccviews/forget/experiment/experiment6/monensin,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/alpha-adrenergic-agonist,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/electron-spin-resonance-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/odontogenic-tumor,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/extinction,2,0.0135
file:/C:/ccviews/forget/experiment/experiment6/polarized-reflectance-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/nikkajicompounds,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/force-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/negative-regulation-of-apoptosis,2,0.0135
file:/C:/ccviews/forget/experiment/experiment6/dielectric-spectro-cytometer,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/spectroscopy-circular-dichroism,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/organic-evolution,2,0.0135
file:/C:/ccviews/forget/experiment/experiment6/light-scattering-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/molecular-nonthermal-excitation-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/transmission-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/raman-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/terahertz-time-domain-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/reflectance-or-transmission-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/jaw-bone,2,0.0135
file:/C:/ccviews/forget/experiment/experiment6/infrared-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/assay,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/keratocystic-odontogenic-tumor,12,0.0811
file:/C:/ccviews/forget/experiment/experiment6/focal-adhesion-pathway,2,0.0135
file:/C:/ccviews/forget/experiment/experiment6/phanerochaete-chrysosporium,2,0.0135
file:/C:/ccviews/forget/experiment/experiment6/evolution,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/luminescence-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/atomic-absorption-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/cystic-change,2,0.0135
file:/C:/ccviews/forget/experiment/experiment6/photometryspectrum-analysis-x-rayneutron,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/acoustic-emission-spectrometry,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/phanerochaete,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/photocurrent-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/alpha-particle-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/J31,2,0.0135
file:/C:/ccviews/forget/experiment/experiment6/avulavirus,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/cns-stimulant,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/positron-annihilation-lifetime-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/optical-rotatory-dispersion,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/secondary-carcinoma,2,0.0135
file:/C:/ccviews/forget/experiment/experiment6/angiogenic-process,2,0.0135
file:/C:/ccviews/forget/experiment/experiment6/biological-sample,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/laser-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/radio-frequency-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/kinetic-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/combined-pregnancy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/adrenergic-alpha-1-receptor-agonists,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/energy-dispersive-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/vibrational-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/e2f5-transcription-factor,5,0.0338
file:/C:/ccviews/forget/experiment/experiment6/vascular-endothelial-growth-factor-family,2,0.0135
file:/C:/ccviews/forget/experiment/experiment6/photovoltage-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/gamma-ray-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/selection--genetics-,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/eukaryota,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/kin-selection,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/photometryspectrum-analysis-visible-light,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/thermal-lens-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/proteins,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/beta-particle-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/antibiotic,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/photothermal-spectroscopy,1,0.0068
file:/C:/ccviews/forget/experiment/experiment6/mass-spectrometry,1,0.0068
